origin,dest,lat1,lon1,lat2,lon2,value
swe,nor,60.128161,18.643501,60.472024,8.468946,23301266678.5
nor,swe,60.472024,8.468946,60.128161,18.643501,23301266678.5
mex,deu,23.634501,-102.552784,51.165690999999995,10.451526,23169697739.5
deu,mex,51.165690999999995,10.451526,23.634501,-102.552784,23169697739.5
dnk,swe,56.26392,9.501785,60.128161,18.643501,22868250350.0
swe,dnk,60.128161,18.643501,56.26392,9.501785,22868250350.0
deu,ind,51.165690999999995,10.451526,20.593684,78.96288,22793928852.5
ind,deu,20.593684,78.96288,51.165690999999995,10.451526,22793928852.5
rus,usa,61.52401,105.31875600000001,37.09024,-95.712891,22650865116.5
usa,rus,37.09024,-95.712891,61.52401,105.31875600000001,22650865116.5
ita,aut,41.87194,12.56738,47.516231,14.550072,21945075911.5
aut,ita,47.516231,14.550072,41.87194,12.56738,21945075911.5
deu,irl,51.165690999999995,10.451526,53.41291,-8.243889999999999,21888686588.0
irl,deu,53.41291,-8.243889999999999,51.165690999999995,10.451526,21888686588.0
pol,fra,51.919438,19.145135999999997,46.227638,2.213749,21839598638.5
fra,pol,46.227638,2.213749,51.919438,19.145135999999997,21839598638.5
phl,jpn,12.879721,121.77401699999999,36.204824,138.252924,21790963061.0
jpn,phl,36.204824,138.252924,12.879721,121.77401699999999,21790963061.0
fin,deu,61.92411,25.748151,51.165690999999995,10.451526,21702618548.0
deu,fin,51.165690999999995,10.451526,61.92411,25.748151,21702618548.0
can,jpn,56.130366,-106.34677099999999,36.204824,138.252924,21623246548.5
jpn,can,36.204824,138.252924,56.130366,-106.34677099999999,21623246548.5
ind,che,20.593684,78.96288,46.818188,8.227511999999999,21604415206.0
che,ind,46.818188,8.227511999999999,20.593684,78.96288,21604415206.0
tur,ita,38.963745,35.243322,41.87194,12.56738,21095097471.0
ita,tur,41.87194,12.56738,38.963745,35.243322,21095097471.0
svk,cze,48.669026,19.699023999999998,49.817492,15.472961999999999,21032363229.5
cze,svk,49.817492,15.472961999999999,48.669026,19.699023999999998,21032363229.5
can,gbr,56.130366,-106.34677099999999,55.378051,-3.435973,20959409960.5
gbr,can,55.378051,-3.435973,56.130366,-106.34677099999999,20959409960.5
jpn,gbr,36.204824,138.252924,55.378051,-3.435973,20953181157.0
gbr,jpn,55.378051,-3.435973,36.204824,138.252924,20953181157.0
chn,per,35.86166,104.195397,-9.189967,-75.015152,20854920863.0
per,chn,-9.189967,-75.015152,35.86166,104.195397,20854920863.0
nld,swe,52.132633,5.291266,60.128161,18.643501,20832110058.0
swe,nld,60.128161,18.643501,52.132633,5.291266,20832110058.0
ind,kor,20.593684,78.96288,35.907757000000004,127.766922,20691764376.0
kor,ind,35.907757000000004,127.766922,20.593684,78.96288,20691764376.0
usa,tur,37.09024,-95.712891,38.963745,35.243322,20644820968.5
tur,usa,38.963745,35.243322,37.09024,-95.712891,20644820968.5
esp,bel,40.463667,-3.7492199999999998,50.503887,4.469936,20511569460.0
bel,esp,50.503887,4.469936,40.463667,-3.7492199999999998,20511569460.0
nld,pol,52.132633,5.291266,51.919438,19.145135999999997,20509255538.5
pol,nld,51.919438,19.145135999999997,52.132633,5.291266,20509255538.5
pol,gbr,51.919438,19.145135999999997,55.378051,-3.435973,20169361995.0
gbr,pol,55.378051,-3.435973,51.919438,19.145135999999997,20169361995.0
pak,chn,30.375321000000003,69.345116,35.86166,104.195397,20101342862.0
chn,pak,35.86166,104.195397,30.375321000000003,69.345116,20101342862.0
